row,scenario,symbol,gross_return_pct,recorded_return_pct,implicit_cost_pp,cost_0_10_net,cost_0_15_net,cost_0_20_net,cost_0_30_net
112,S72_SL4_TP8,USD1/USDT,-0.0159974404,-0.2159974404,0.2000000000,-0.1159974404,-0.1659974404,-0.2159974404,-0.3159974404
113,S72_SL4_TP8,GPS/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
114,S72_SL4_TP8,PORTAL/USDT,-2.6156941650,-2.8156941650,0.2000000000,-2.7156941650,-2.7656941650,-2.8156941650,-2.9156941650
115,S72_SL4_TP8,WLFI/USDT,-1.0771992819,-1.2771992819,0.2000000000,-1.1771992819,-1.2271992819,-1.2771992819,-1.3771992819
116,S72_SL4_TP8,BNB/USDT,2.4022094074,2.2022094074,0.2000000000,2.3022094074,2.2522094074,2.2022094074,2.1022094074
117,S72_SL4_TP8,BCH/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
118,S72_SL4_TP8,ONDO/USDT,-2.5739716141,-2.7739716141,0.2000000000,-2.6739716141,-2.7239716141,-2.7739716141,-2.8739716141
119,S72_SL4_TP8,PAXG/USDT,-0.5289097247,-0.7289097247,0.2000000000,-0.6289097247,-0.6789097247,-0.7289097247,-0.8289097247
120,S72_SL4_TP8,TUT/USDT,1.3504388926,1.1504388926,0.2000000000,1.2504388926,1.2004388926,1.1504388926,1.0504388926
121,S72_SL4_TP8,MSTRB/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
122,S72_SL4_TP8,SPCXB/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
123,S72_SL4_TP8,AAVE/USDT,-3.6316472114,-3.8316472114,0.2000000000,-3.7316472114,-3.7816472114,-3.8316472114,-3.9316472114
124,S72_SL4_TP8,ADA/USDT,0.1171646163,-0.0828353837,0.2000000000,0.0171646163,-0.0328353837,-0.0828353837,-0.1828353837
125,S72_SL4_TP8,SUI/USDT,-2.4240695851,-2.6240695851,0.2000000000,-2.5240695851,-2.5740695851,-2.6240695851,-2.7240695851
126,S72_SL4_TP8,PUMP/USDT,8.0000000000,7.8000000000,0.2000000000,7.9000000000,7.8500000000,7.8000000000,7.7000000000
127,S72_SL4_TP8,GIGGLE/USDT,8.0000000000,7.8000000000,0.2000000000,7.9000000000,7.8500000000,7.8000000000,7.7000000000
128,S72_SL4_TP8,FIL/USDT,0.7828882986,0.5828882986,0.2000000000,0.6828882986,0.6328882986,0.5828882986,0.4828882986
129,S72_SL4_TP8,MUBARAK/USDT,-4.0000000000,-4.2000000000,0.2000000000,-4.1000000000,-4.1500000000,-4.2000000000,-4.3000000000
130,S72_SL4_TP8,ALPINE/USDT,0.9433962264,0.7433962264,0.2000000000,0.8433962264,0.7933962264,0.7433962264,0.6433962264
131,S72_SL4_TP8,BMT/USDT,2.5906735751,2.3906735751,0.2000000000,2.4906735751,2.4406735751,2.3906735751,2.2906735751
132,S72_SL4_TP8,USD1/USDT,-0.0139995800,-0.2139995800,0.2000000000,-0.1139995800,-0.1639995800,-0.2139995800,-0.3139995800
133,S72_SL4_TP8,HOME/USDT,8.0000000000,7.8000000000,0.2000000000,7.9000000000,7.8500000000,7.8000000000,7.7000000000
134,S72_SL4_TP8,USDC/USDT,-0.0189813982,-0.2189813982,0.2000000000,-0.1189813982,-0.1689813982,-0.2189813982,-0.3189813982
135,S72_SL4_TP8,HEMI/USDT,3.0501089325,2.8501089325,0.2000000000,2.9501089325,2.9001089325,2.8501089325,2.7501089325
136,S72_SL4_TP8,NEAR/USDT,-0.7088009451,-0.9088009451,0.2000000000,-0.8088009451,-0.8588009451,-0.9088009451,-1.0088009451
137,S72_SL4_TP8,EURI/USDT,0.0433914779,-0.1566085221,0.2000000000,-0.0566085221,-0.1066085221,-0.1566085221,-0.2566085221
138,S72_SL4_TP8,TAO/USDT,-2.2414671421,-2.4414671421,0.2000000000,-2.3414671421,-2.3914671421,-2.4414671421,-2.5414671421
