scenario,simulations,return_p05,return_median,return_p95,dd_p05,dd_median,dd_p95,positive_probability,loss10_probability,dd20_probability
S80_SL4_TP8,5000,62.313044378716384,393.4291417562157,1495.6931088458552,-51.0488044469674,-32.74633484556698,-21.71055559316105,99.22,0.54,97.48
S80_SL4_TP10,5000,275.35249117723254,2322.1210987240984,26510.2569495859,-48.01531212638721,-31.082987347483325,-21.070638624112135,99.94,0.04,96.86
S80_SL4_TP12,5000,164.66602862436477,1677.8473369799783,19548.333504958136,-52.453051302443406,-33.83079180358598,-22.719146537426234,99.7,0.18,98.6
S80_SL4_TP15,5000,409.5174021699949,3758.633794850939,47843.884110259554,-49.40235864085245,-32.56158868968666,-22.0238273987044,99.92,0.06,97.98
S80_SL5_TP8,5000,105.68930902236097,1093.4980790159484,13028.092567848018,-55.241361747468645,-35.73912028085673,-23.587189682997387,99.48,0.36,99.26
S80_SL5_TP10,5000,282.48737436958527,2118.711603386222,25951.551607881065,-50.08639943253565,-32.463565031552164,-21.735507865231742,99.94,0.04,97.5
S80_SL5_TP12,5000,329.18610721617137,2967.737627926515,37768.1701264113,-51.52654472120291,-33.798910369960495,-22.600729379655967,99.92,0.06,98.48
S80_SL5_TP15,5000,325.89034419410945,1790.474790798191,9030.58481549173,-49.00662809923867,-31.97271048713841,-21.8910223831535,99.92,0.02,97.89999999999999
S80_SL6_TP8,5000,-43.2539770684196,101.83542659758753,626.7533016700464,-71.17700310201603,-46.37966285553314,-29.114540361356188,81.78,15.02,99.94
S80_SL6_TP10,5000,-7.731549398830689,238.36279342296754,1207.298566727998,-63.10457887960861,-41.346828690438414,-26.71619330691014,94.1,4.72,99.74
S80_SL6_TP12,5000,-25.424834789275188,213.18356571068884,1148.370554944126,-69.28462944394253,-45.35882465570156,-29.19439383179666,90.25999999999999,7.9399999999999995,99.96000000000001
S80_SL6_TP15,5000,100.71978731848792,830.6603440529577,4375.1513196821425,-57.921995023472086,-37.83135574273011,-25.089538359524834,99.14,0.58,99.58
S82_SL4_TP8,5000,127.81004540755293,658.0722589036548,2475.3658839524346,-47.56531980727802,-31.163797052969667,-20.839470636629905,99.68,0.16,96.66
S82_SL4_TP10,5000,181.53851276912812,919.8983043978097,3835.287992743916,-49.5938674274665,-32.12287125359486,-21.566208982773396,99.8,0.13999999999999999,97.44
S82_SL4_TP12,5000,185.20460422293664,1025.4038870549307,4466.5164815373,-49.62248354032016,-32.535851152974715,-21.830137344186284,99.8,0.13999999999999999,97.92
S82_SL4_TP15,5000,242.50552675805324,2335.0976031967457,30818.551919404148,-52.926923471884194,-35.053919566655175,-23.61933588137745,99.8,0.13999999999999999,99.18
S82_SL5_TP8,5000,61.92249789621813,469.44709951447396,2026.6815682079282,-54.45244572901625,-34.81863112999824,-22.979192642018006,98.83999999999999,0.8999999999999999,98.8
S82_SL5_TP10,5000,68.81061359025983,546.2939322709926,2296.5482733662743,-56.13143690952284,-36.45151854270579,-24.452872735727,98.92,0.8200000000000001,99.46000000000001
S82_SL5_TP12,5000,228.70938337596627,1242.655278862096,6024.064655497409,-51.94892749907786,-34.15139873730769,-23.064621611806864,99.83999999999999,0.13999999999999999,98.82
S82_SL5_TP15,5000,142.93368995845947,1007.8900752535476,5221.284011698061,-55.74918854068246,-36.6546782932669,-24.3482041625987,99.58,0.3,99.42
S82_SL6_TP8,5000,-7.712987265386201,238.09289545831584,1106.5958953833328,-63.03793721579145,-40.13194738894392,-25.780343133579066,93.92,4.66,99.66000000000001
S82_SL6_TP10,5000,27.329726415428183,402.85544045045344,1895.165829372769,-61.863787095339305,-40.133502752962116,-26.582487077516344,97.64,1.78,99.8
S82_SL6_TP12,5000,18.85688426489144,425.18024758991083,2405.5663534625814,-65.67064286000047,-42.92576239492591,-28.092271753592108,96.66,2.62,99.94
S82_SL6_TP15,5000,27.72847468440356,485.22246081649655,2834.2348741153764,-62.51098161025919,-41.88673868066299,-27.63999694420366,97.32,1.7999999999999998,99.92
S85_SL4_TP8,5000,117.09112943368362,1109.9304560491191,12989.41772873268,-50.068028962514376,-31.95796877009934,-21.098078531333513,99.58,0.3,97.04
S85_SL4_TP10,5000,93.2724192023,567.4944686882316,2247.6100955030615,-48.988332123208664,-31.303486149322158,-20.626061206200966,99.58,0.3,96.22
S85_SL4_TP12,5000,436.339472278514,3422.7559581755377,41458.13165485923,-45.58681696958668,-29.5122311700515,-19.85230281183263,99.98,0.02,94.74000000000001
S85_SL4_TP15,5000,405.75411877283574,1966.4366316719754,8889.941412049126,-44.93747081103556,-29.55069692504874,-20.135164675175087,100.0,0.0,95.46
S85_SL5_TP8,5000,-9.652621540977792,411.6614952557635,5279.655916551018,-64.55953668829501,-41.50780334173119,-26.722229507340455,93.82000000000001,5.0,99.78
S85_SL5_TP10,5000,3.3614639720614212,260.11695950398075,1215.8694168597788,-60.183108809440206,-38.63361694259285,-24.928175949981213,95.54,3.2800000000000002,99.56
S85_SL5_TP12,5000,140.42134391436605,890.811717346677,4051.3691406059183,-52.729094941260925,-33.9354831828518,-22.568099982329702,99.68,0.18,98.44000000000001
S85_SL5_TP15,5000,48.43678466835338,492.683583065711,2387.695508274054,-57.57743933430884,-37.213751972080885,-24.62031133371482,98.34,1.22,99.44
S85_SL6_TP8,5000,-33.36094758510773,273.45054078502415,3674.5100239196686,-70.69101894121518,-46.261771459378004,-29.207783952902787,88.86,9.139999999999999,99.88
S85_SL6_TP10,5000,3.749936078291708,297.956597098928,1486.9473917026319,-62.06662121471492,-40.387868377873986,-26.15261975881702,95.58,3.2199999999999998,99.76
S85_SL6_TP12,5000,59.87425896478934,596.5120906632621,2737.6352795375024,-59.392434720111446,-38.086288876393915,-25.40230850224208,98.56,1.0,99.78
S85_SL6_TP15,5000,-32.87976672741547,194.25789093362854,1176.6296638917952,-70.9993326254578,-47.193019163472584,-30.734304453495398,88.94,9.139999999999999,99.98
CD6_E1_P5,5000,-22.489418845247464,140.63957142124121,703.7237805506803,-60.846091316000276,-37.63828126317647,-23.570356191485025,90.2,7.5,98.83999999999999
CD6_E1_P7,5000,38.48702027276565,698.2946341438721,8785.994888536454,-59.037283347469774,-38.3130658208098,-24.99582663947427,97.94,1.72,99.66000000000001
CD6_E1_P10,5000,238.46753057002908,2336.152857147579,30433.193117278275,-57.62651767143815,-37.95926954024908,-25.785412356271134,99.86,0.12,99.82
CD6_E1_P15,5000,741.5112579272861,7251.358455047677,106467.75050166895,-56.694572591480686,-38.42047714189813,-27.322353493582288,100.0,0.0,99.94
CD6_E2_P5,5000,-22.435009008261886,138.06923020637015,693.0547257888635,-60.70677437760162,-37.89868820596834,-23.596727459264006,90.38000000000001,7.62,98.8
CD6_E2_P7,5000,-46.477541810834,82.52970143764092,542.038510837949,-71.03181203361724,-46.48981698135918,-29.147820359067047,78.06,18.12,99.96000000000001
CD6_E2_P10,5000,176.56436061319215,1147.6462030998634,5358.604835268683,-56.05158306425729,-37.33140958671479,-25.327308868559598,99.78,0.18,99.78
CD6_E2_P15,5000,390.73152680961823,4169.391601014699,63994.28797488006,-61.78533875219577,-41.68363219181548,-28.788917286899725,99.82,0.16,100.0
CD12_E1_P5,5000,-56.80327246554023,14.390874566345097,209.7652477636614,-69.12441785904088,-44.60947077196063,-27.080175252983757,58.660000000000004,34.32,99.6
CD12_E1_P7,5000,33.4808818264024,693.1894357374015,8385.98899985299,-61.47345501394512,-39.658933688254365,-26.013209301374648,97.61999999999999,1.78,99.76
CD12_E1_P15,5000,179.0585108236063,2390.6613169886623,34836.744713708744,-64.44106743876033,-44.00373195850725,-30.44643341746316,99.46000000000001,0.36,99.98
CD12_E2_P5,5000,-42.30288204516846,58.05317690558775,347.4695659423134,-63.52962978029649,-40.19619889145841,-24.59696000660528,76.92,17.919999999999998,99.28
CD12_E2_P7,5000,-6.820731331234353,451.9970569198832,5989.17867104579,-64.8963163844812,-41.56573573068703,-26.864709381671872,94.36,4.4799999999999995,99.78
CD12_E2_P10,5000,6.911706435592492,363.3785369124705,1905.1277714451055,-65.15671966344297,-43.13748518043448,-28.556456873765203,95.86,3.16,99.98
CD12_E2_P15,5000,347.3419402133553,3761.3451562936807,50542.61563037843,-61.268489588517276,-41.636946245297295,-28.656939395633746,99.78,0.16,99.98
CD24_E1_P5,5000,-14.521794313340607,156.84626187962897,685.7346538714328,-57.77166671906232,-35.49702589667084,-22.282876211533953,92.30000000000001,5.82,98.04
CD24_E1_P7,5000,28.774560167927923,645.4310912961904,7884.731937691926,-57.88423077076149,-36.50514334202624,-23.576535286562038,97.46000000000001,1.9,99.36
CD24_E1_P10,5000,-23.024044055440022,220.7240640478694,1285.4583762801376,-69.64476022892335,-46.142426143250105,-30.513121313465977,91.4,6.859999999999999,99.98
CD24_E1_P15,5000,-38.51920014899903,208.67935291886886,1547.4402987698284,-76.20730806895031,-51.79275672968026,-34.156314999611624,87.22,10.7,100.0
CD24_E2_P5,5000,-14.521794313340607,156.84626187962897,685.7346538714328,-57.77166671906232,-35.49702589667084,-22.282876211533953,92.30000000000001,5.82,98.04
CD24_E2_P7,5000,28.774560167927923,645.4310912961904,7884.731937691926,-57.88423077076149,-36.50514334202624,-23.576535286562038,97.46000000000001,1.9,99.36
CD24_E2_P10,5000,-23.024044055440022,220.7240640478694,1285.4583762801376,-69.64476022892335,-46.142426143250105,-30.513121313465977,91.4,6.859999999999999,99.98
CD24_E2_P15,5000,-38.51920014899903,208.67935291886886,1547.4402987698284,-76.20730806895031,-51.79275672968026,-34.156314999611624,87.22,10.7,100.0
COST_0.15,5000,19.037921961167743,740.908905979797,10630.901368508934,-67.78847900968576,-45.57441352435457,-30.45020947362271,96.38,2.98,99.98
COST_0.20,5000,-15.641317196794438,496.88344374792814,7532.454260069738,-72.22681571893355,-49.0698722179372,-32.5957228298419,93.26,5.6000000000000005,100.0
COST_0.30,5000,-57.677836171308584,200.33472935124124,3757.1241218000137,-80.91702534994793,-57.241452982025166,-37.37936948233325,80.97999999999999,16.76,100.0
ROBUST_72_SL5_TP10_CD6_P7,5000,116.90844131823854,1253.5072662777006,14053.653531085423,-54.38918641518667,-35.367465550112726,-23.411656316521245,99.33999999999999,0.38,98.76
ROBUST_78_SL5_TP10_CD6_P7,5000,30.270175179181187,565.7969519929711,6250.150352894295,-55.964719811560336,-35.048038030461974,-22.793401151950388,97.68,1.7000000000000002,98.5
ROBUST_78_SL5_TP12_CD6_P7,5000,207.64250903250755,1699.395873485744,19881.058441231133,-45.75144875205424,-28.714459345497556,-18.979586341906174,99.78,0.13999999999999999,92.02
ROBUST_78_SL4_TP12_CD6_P7,5000,169.9368391059524,766.0623548090296,2809.7071153142247,-42.53083844551661,-26.775207427736785,-17.78350879144796,99.94,0.0,87.08
ROBUST_78_SL5_TP10_CD24_P5,5000,18.97213517144421,211.75854042954558,706.1171022398055,-44.23066544195321,-27.213003389079393,-17.037366441156216,97.58,1.44,85.64
ROBUST_78_SL5_TP12_CD24_P5,5000,39.18601005541293,273.0542638174221,905.9735501891909,-44.41688830451399,-27.1115984358071,-17.05598738866745,98.46000000000001,0.8999999999999999,84.26
