scenario,n,avg,median,win_rate,pf,compound_final,dd
ROBUST_78_SL5_TP12_CD6_P7,202,1.9987957175002737,-0.10585281656989559,49.00990099009901,2.424392929701826,19947.861631175256,-33.253621483991346
S72_SL4_TP10,375,0.5103521370409119,-0.28077544426493556,40.8,1.340763638162396,4599.392427584588,-72.0713473030626
S72_SL4_TP12,376,1.1300623945284072,-0.24722961617913414,41.48936170212766,1.749800920577588,20127.78611960658,-69.09852122913315
S72_SL4_TP15,369,1.3046475914635602,-0.2578285383836863,40.921409214092144,1.851463237432935,32038.837066904223,-71.88363544195535
S72_SL4_TP8,396,0.4697469442333882,-0.2120012001200154,42.42424242424242,1.3235126406422255,4511.35655237967,-75.29403154611569
S72_SL5_TP10,363,1.018583108455646,-0.21727563272004852,43.25068870523416,1.640039397494842,12013.528982654034,-63.70191810425813
S72_SL5_TP12,356,0.7198668370737704,-0.2179964007198663,42.97752808988764,1.4561881747120502,7998.299555165198,-62.365871794369035
S72_SL5_TP15,348,0.9427753863550188,-0.2100170289492163,43.10344827586207,1.6141463921863484,15244.114905666678,-68.31445997203711
S72_SL5_TP8,371,0.4934727055396429,-0.2299760191846521,42.04851752021563,1.2909700107915714,2103.03265194783,-64.4684799825549
S72_SL6_TP10,353,0.9268185794665177,-0.21998201618542695,43.05949008498584,1.549205347310718,7785.21782186915,-71.60100897382637
S72_SL6_TP12,354,0.7354267073661767,-0.215997440409532,43.50282485875706,1.4422928868265223,7989.790722465802,-68.42385877949972
S72_SL6_TP15,348,0.564516427702432,-0.22592016588905955,41.666666666666664,1.3273657052771073,4145.4227370626295,-76.31813095787788
S72_SL6_TP8,365,0.8015333112056814,-0.20999050901643318,44.657534246575345,1.5078844076848454,5736.819599954337,-71.56498424961924
S75_SL4_TP10,345,0.49454893341745243,-0.2120012001200154,41.15942028985507,1.342328323744621,3909.3335173796445,-64.42967559795218
S75_SL4_TP12,350,1.210267121606353,-0.21997602876550043,41.42857142857143,1.8198834897073564,21215.263462055158,-62.19390856644893
S75_SL4_TP15,338,0.765269066962209,-0.23004807692307266,39.94082840236686,1.515705887925135,8261.393638615627,-68.5166003156727
S75_SL4_TP8,357,0.4230186092372512,-0.21001803245842537,43.13725490196079,1.3048993788128618,3374.4116336669517,-52.838845358253174
S75_SL5_TP10,344,1.0958732288873625,-0.2120012001200154,43.02325581395349,1.6849955981726241,12966.068039302143,-63.69221512894221
S75_SL5_TP12,341,1.2165508952861108,-0.22997302427815153,42.52199413489736,1.7306061325592446,18340.008679924726,-65.92793066003443
S75_SL5_TP15,336,1.4612134340803307,-0.2100200400801609,42.857142857142854,1.9600955646239935,36677.23405871662,-71.82759573718704
S75_SL5_TP8,346,0.6794159347405397,-0.2179964007198663,43.0635838150289,1.4384428164445369,3644.958818842574,-60.92562313639587
S75_SL6_TP10,334,0.47886841907848976,-0.2199740337561094,42.51497005988024,1.300555203428605,3342.924242975162,-65.37922100633848
S75_SL6_TP12,330,0.45447115997497706,-0.2349622407799677,40.90909090909091,1.2609656639011524,2820.6423534094793,-67.51105619180977
S75_SL6_TP15,334,0.7155017423200555,-0.239964032370865,40.41916167664671,1.3963732725491094,5990.278393424934,-74.72740611529034
S75_SL6_TP8,342,0.5360998344542496,-0.1387708769523986,46.78362573099415,1.364319038947128,4445.723883541833,-58.32625178122497
S78_SL4_TP10,301,0.893813240726199,-0.19134723544171878,45.51495016611295,1.7031902927468812,10722.935644122628,-43.008603089013874
S78_SL4_TP12,300,1.731616263315451,-0.20799216767568557,45.333333333333336,2.301529254504477,56688.29731706211,-42.86718147334084
S78_SL4_TP15,291,0.9926990065197098,-0.21997602876550043,42.2680412371134,1.7253806390165145,11739.60276391664,-48.48112415953941
S78_SL4_TP8,313,1.5034714896034864,-0.19000999000997593,47.6038338658147,2.2360493394472916,38993.220592451544,-37.24702063368361
S78_SL5_TP10,294,0.507546142131045,-0.2099870168780547,42.857142857142854,1.3431141249955856,3224.5062224031826,-44.05912886709689
S78_SL5_TP12,289,0.795457182320647,-0.21001803245842537,43.59861591695502,1.5326282356869785,6755.671613566243,-46.588845685826264
S78_SL5_TP15,284,1.6522837565265478,-0.2,43.66197183098591,2.150153842400635,32465.616604473995,-49.75570433941557
S78_SL5_TP8,299,0.517682366151545,-0.19001098791329146,45.819397993311036,1.3798653255414095,3594.9034417832822,-45.78134812228819
S78_SL6_TP10,284,0.8548112780850227,-0.19000999000997593,46.478873239436616,1.5831831208463976,7927.909427113594,-40.658557157111076
S78_SL6_TP12,282,0.866343235471105,-0.18001998001995184,46.45390070921986,1.5794149854449047,7729.621032459196,-41.721168066682814
S78_SL6_TP15,274,0.9787469725791338,-0.2059998200053979,43.43065693430657,1.632912666349618,9293.058316965833,-39.19806346976568
S78_SL6_TP8,292,1.1359755360746842,-0.050888703328166696,49.657534246575345,1.7712440687257633,9109.429179577392,-44.513752932170846
S80_SL4_TP10,307,1.4256379116950526,-0.2100170289492163,42.671009771986974,2.0786846657996314,25983.809734059956,-42.57053677964026
S80_SL4_TP12,296,1.3823387372067713,-0.2120012001200154,41.21621621621622,2.008797332791748,19165.29588167777,-48.17003409272176
S80_SL4_TP15,297,1.6891179151476012,-0.20999500249875275,41.75084175084175,2.234536700771453,43265.43148224799,-48.59889759133981
S80_SL4_TP8,313,0.5989370740757703,-0.2,45.68690095846645,1.4617370320047107,5012.617498676452,-45.71853877123968
S80_SL5_TP10,290,1.4961781339549525,-0.19000799360511228,45.172413793103445,2.0882161741709466,24902.655802747067,-42.99152756811255
S80_SL5_TP12,289,1.6314301060190544,-0.2,43.944636678200695,2.122404507160293,33554.528866600296,-38.70608345194581
S80_SL5_TP15,280,1.2287358880967745,-0.2,44.285714285714285,1.897181848146168,19635.227134350553,-42.53970218891601
S80_SL5_TP8,303,1.2125824275667552,-0.19000799360511228,46.53465346534654,1.8516666069156067,13186.620118496954,-45.530779062734716
S80_SL6_TP10,279,0.5612467432497739,-0.20099995000251153,44.80286738351254,1.362898463547158,3443.2523845295577,-50.85244203877248
S80_SL6_TP12,281,0.5414206039259417,-0.2,44.12811387900356,1.322925218296352,3108.1751340415603,-62.03936522923335
S80_SL6_TP15,274,0.9778688963993376,-0.2,43.43065693430657,1.6352936905210296,9181.259845326134,-46.84681280122683
S80_SL6_TP8,294,0.3413402342556311,-0.2,45.91836734693877,1.21072584314456,2011.4745687883767,-44.46606036797408
S82_SL4_TP10,304,0.8852305402722861,-0.2199740337561094,40.78947368421053,1.6472486436634728,10387.551851550408,-32.389431483425504
S82_SL4_TP12,295,0.9582437691849184,-0.2199740337561094,41.69491525423729,1.689363735878135,11533.985437378647,-39.70339409064954
S82_SL4_TP15,293,1.5600959676167512,-0.2551267916207299,37.8839590443686,2.0964789125830574,28032.2946271871,-43.21915376090676
S82_SL4_TP8,312,0.7468655103018863,-0.2,44.23076923076923,1.5656955658678215,7741.782247817156,-36.09993512267754
S82_SL5_TP10,287,0.7633993395485653,-0.2,44.94773519163763,1.4966648942616236,6293.720728692204,-36.6110771577999
S82_SL5_TP12,287,1.064408271806656,-0.2,44.250871080139376,1.719575770237293,13919.382954484488,-37.17869155511542
S82_SL5_TP15,280,1.0273778094313948,-0.2059998200053979,41.785714285714285,1.678334669779796,11170.39688443112,-39.60921646783554
S82_SL5_TP8,301,0.6773126170658148,-0.2,45.182724252491695,1.4740031350294212,5678.473418742973,-37.52773205746443
S82_SL6_TP10,284,0.7001031020191291,-0.2,44.36619718309859,1.4338054728441454,5017.910779088734,-38.57220769516194
S82_SL6_TP12,286,0.7357007119417167,-0.21398503601144353,43.00699300699301,1.42952686454642,5293.9148529849335,-56.37537592818171
