trade_row,scenario,symbol,entry_time,exit_time,entry_price,exit_price,entry_exec,exit_exec,quantity,notional,entry_fee,exit_fee,gross_pnl,net_pnl,net_return_pct,exit_reason
12551,S80_SL4_TP10,BEL/USDT,2026-08-16T12:00:00+00:00,2026-08-16T18:00:00+00:00,0.107,0.11770000000000001,0.10710699999999998,0.11758230000000001,933.6457934588777,100.0,0.1,0.10978021978021982,9.780219780219815,9.570439560439596,9.570439560439596,TARGET
16046,S82_SL4_TP10,BEL/USDT,2026-08-16T12:00:00+00:00,2026-08-16T18:00:00+00:00,0.107,0.11770000000000001,0.10710699999999998,0.11758230000000001,933.6457934588777,100.0,0.1,0.10978021978021982,9.780219780219815,9.570439560439596,9.570439560439596,TARGET
728,S72_SL4_TP10,ONG/USDT,2026-08-15T19:00:00+00:00,2026-08-16T19:00:00+00:00,0.04868,0.05249,0.048728679999999996,0.05243751,2052.179537799916,100.0,0.1,0.10761118503517848,7.611185035178469,7.403573850143291,7.4035738501432915,TIME
27756,CD24_E1_P10,BEL/USDT,2026-08-16T16:00:00+00:00,2026-08-16T19:00:00+00:00,0.1112,0.12232,0.11131119999999999,0.12219768,898.3821933462223,100.0,0.1,0.1097802197802198,9.780219780219797,9.570439560439578,9.570439560439578,TARGET
28206,CD24_E1_P15,BEL/USDT,2026-08-16T19:00:00+00:00,2026-08-16T20:00:00+00:00,0.1231,0.116945,0.12322309999999999,0.116828055,811.5361486604379,100.0,0.1,0.09481018981018981,-5.1898101898101805,-5.38462037962037,-5.38462037962037,STOP
29463,CD24_E2_P15,BEL/USDT,2026-08-16T19:00:00+00:00,2026-08-16T20:00:00+00:00,0.1231,0.116945,0.12322309999999999,0.116828055,811.5361486604379,100.0,0.1,0.09481018981018981,-5.1898101898101805,-5.38462037962037,-5.38462037962037,STOP
7427,S75_SL6_TP8,PORTAL/USDT,2026-08-16T18:00:00+00:00,2026-08-16T22:00:00+00:00,0.01674,0.018079200000000004,0.01675674,0.018061120800000004,5967.747903231774,100.0,0.1,0.1077842157842158,7.784215784215811,7.5764315684315955,7.576431568431595,TARGET
7764,S75_SL6_TP10,PORTAL/USDT,2026-08-16T18:00:00+00:00,2026-08-16T22:00:00+00:00,0.01674,0.018414000000000003,0.01675674,0.018395586000000002,5967.747903231774,100.0,0.1,0.1097802197802198,9.780219780219797,9.570439560439578,9.570439560439578,TARGET
13739,S80_SL5_TP10,PORTAL/USDT,2026-08-16T18:00:00+00:00,2026-08-16T22:00:00+00:00,0.01674,0.018414000000000003,0.01675674,0.018395586000000002,5967.747903231774,100.0,0.1,0.1097802197802198,9.780219780219797,9.570439560439578,9.570439560439578,TARGET
17227,S82_SL5_TP10,PORTAL/USDT,2026-08-16T18:00:00+00:00,2026-08-16T22:00:00+00:00,0.01674,0.018414000000000003,0.01675674,0.018395586000000002,5967.747903231774,100.0,0.1,0.1097802197802198,9.780219780219797,9.570439560439578,9.570439560439578,TARGET
24753,CD6_E2_P15,PORTAL/USDT,2026-08-16T18:00:00+00:00,2026-08-16T22:00:00+00:00,0.01674,0.018414000000000003,0.01675674,0.018395586000000002,5967.747903231774,100.0,0.1,0.1097802197802198,9.780219780219797,9.570439560439578,9.570439560439578,TARGET
26952,CD12_E2_P15,PORTAL/USDT,2026-08-16T18:00:00+00:00,2026-08-16T22:00:00+00:00,0.01674,0.018414000000000003,0.01675674,0.018395586000000002,5967.747903231774,100.0,0.1,0.1097802197802198,9.780219780219797,9.570439560439578,9.570439560439578,TARGET
6750,S75_SL5_TP12,PORTAL/USDT,2026-08-16T20:00:00+00:00,2026-08-16T22:00:00+00:00,0.01665,0.018648000000000005,0.016666649999999998,0.018629352000000005,6000.006000006,100.0,0.1,0.11177622377622382,11.77622377622382,11.564447552447596,11.564447552447596,TARGET
12850,S80_SL4_TP12,CHIP/USDT,2026-08-16T20:00:00+00:00,2026-08-16T22:00:00+00:00,0.02952,0.0283392,0.02954952,0.028310860799999997,3384.14972561314,100.0,0.1,0.09580819180819179,-4.1918081918081995,-4.387616383616391,-4.387616383616391,STOP
1467,S72_SL4_TP15,ONG/USDT,2026-08-16T18:00:00+00:00,2026-08-17T01:00:00+00:00,0.05256,0.060444,0.052612559999999996,0.060383556,1900.6868321936818,100.0,0.1,0.11477022977022978,14.770229770229777,14.555459540459548,14.555459540459548,TARGET
8096,S75_SL6_TP12,ONG/USDT,2026-08-16T18:00:00+00:00,2026-08-17T01:00:00+00:00,0.05256,0.05886720000000001,0.052612559999999996,0.05880833280000001,1900.6868321936818,100.0,0.1,0.1117762237762238,11.776223776223802,11.564447552447579,11.564447552447579,TARGET
343,S72_SL4_TP8,ONG/USDT,2026-08-16T22:00:00+00:00,2026-08-17T01:00:00+00:00,0.05363,0.057920400000000004,0.05368362999999999,0.0578624796,1862.76524147119,100.0,0.1,0.1077842157842158,7.78421578421581,7.576431568431595,7.576431568431595,TARGET
7428,S75_SL6_TP8,ONG/USDT,2026-08-16T22:00:00+00:00,2026-08-17T01:00:00+00:00,0.05363,0.057920400000000004,0.05368362999999999,0.0578624796,1862.76524147119,100.0,0.1,0.1077842157842158,7.78421578421581,7.576431568431595,7.576431568431595,TARGET
7766,S75_SL6_TP10,ONG/USDT,2026-08-16T22:00:00+00:00,2026-08-17T01:00:00+00:00,0.05363,0.058993000000000004,0.05368362999999999,0.058934007000000004,1862.76524147119,100.0,0.1,0.10978021978021982,9.78021978021981,9.57043956043959,9.57043956043959,TARGET
12240,S80_SL4_TP8,ONG/USDT,2026-08-16T22:00:00+00:00,2026-08-17T01:00:00+00:00,0.05363,0.057920400000000004,0.05368362999999999,0.0578624796,1862.76524147119,100.0,0.1,0.1077842157842158,7.78421578421581,7.576431568431595,7.576431568431595,TARGET
13449,S80_SL5_TP8,ONG/USDT,2026-08-16T22:00:00+00:00,2026-08-17T01:00:00+00:00,0.05363,0.057920400000000004,0.05368362999999999,0.0578624796,1862.76524147119,100.0,0.1,0.1077842157842158,7.78421578421581,7.576431568431595,7.576431568431595,TARGET
27189,CD24_E1_P5,ONG/USDT,2026-08-16T22:00:00+00:00,2026-08-17T01:00:00+00:00,0.05363,0.058993000000000004,0.05368362999999999,0.058934007000000004,1862.76524147119,100.0,0.1,0.10978021978021982,9.78021978021981,9.57043956043959,9.57043956043959,TARGET
28446,CD24_E2_P5,ONG/USDT,2026-08-16T22:00:00+00:00,2026-08-17T01:00:00+00:00,0.05363,0.058993000000000004,0.05368362999999999,0.058934007000000004,1862.76524147119,100.0,0.1,0.10978021978021982,9.78021978021981,9.57043956043959,9.57043956043959,TARGET
1468,S72_SL4_TP15,GPS/USDT,2026-08-17T01:00:00+00:00,2026-08-17T03:00:00+00:00,0.01195,0.0137425,0.011961949999999999,0.0137287575,8359.840995824261,100.0,0.1,0.1147702297702298,14.770229770229774,14.555459540459545,14.555459540459545,TARGET
2567,S72_SL5_TP12,GPS/USDT,2026-08-17T01:00:00+00:00,2026-08-17T03:00:00+00:00,0.01195,0.013384000000000002,0.011961949999999999,0.013370616000000002,8359.840995824261,100.0,0.1,0.11177622377622382,11.776223776223802,11.564447552447579,11.564447552447579,TARGET
8432,S75_SL6_TP15,GPS/USDT,2026-08-17T01:00:00+00:00,2026-08-17T03:00:00+00:00,0.01195,0.0137425,0.011961949999999999,0.0137287575,8359.840995824261,100.0,0.1,0.1147702297702298,14.770229770229774,14.555459540459545,14.555459540459545,TARGET
16051,S82_SL4_TP10,GPS/USDT,2026-08-17T01:00:00+00:00,2026-08-17T03:00:00+00:00,0.01195,0.013145000000000002,0.011961949999999999,0.013131855000000001,8359.840995824261,100.0,0.1,0.10978021978021982,9.780219780219802,9.570439560439583,9.570439560439583,TARGET
16349,S82_SL4_TP12,GPS/USDT,2026-08-17T01:00:00+00:00,2026-08-17T03:00:00+00:00,0.01195,0.013384000000000002,0.011961949999999999,0.013370616000000002,8359.840995824261,100.0,0.1,0.11177622377622382,11.776223776223802,11.564447552447579,11.564447552447579,TARGET
22655,CD6_E1_P7,GPS/USDT,2026-08-17T01:00:00+00:00,2026-08-17T03:00:00+00:00,0.01195,0.013145000000000002,0.011961949999999999,0.013131855000000001,8359.840995824261,100.0,0.1,0.10978021978021982,9.780219780219802,9.570439560439583,9.570439560439583,TARGET
24282,CD6_E2_P10,GPS/USDT,2026-08-17T01:00:00+00:00,2026-08-17T03:00:00+00:00,0.01195,0.013145000000000002,0.011961949999999999,0.013131855000000001,8359.840995824261,100.0,0.1,0.10978021978021982,9.780219780219802,9.570439560439583,9.570439560439583,TARGET
26493,CD12_E2_P10,GPS/USDT,2026-08-17T01:00:00+00:00,2026-08-17T03:00:00+00:00,0.01195,0.013145000000000002,0.011961949999999999,0.013131855000000001,8359.840995824261,100.0,0.1,0.10978021978021982,9.780219780219802,9.570439560439583,9.570439560439583,TARGET
27190,CD24_E1_P5,GPS/USDT,2026-08-17T01:00:00+00:00,2026-08-17T03:00:00+00:00,0.01195,0.013145000000000002,0.011961949999999999,0.013131855000000001,8359.840995824261,100.0,0.1,0.10978021978021982,9.780219780219802,9.570439560439583,9.570439560439583,TARGET
8433,S75_SL6_TP15,ACE/USDT,2026-08-17T03:00:00+00:00,2026-08-17T05:00:00+00:00,0.1683,0.158202,0.1684683,0.158043798,593.5834812840161,100.0,0.1,0.09381218781218784,-6.187812187812173,-6.3816243756243605,-6.3816243756243605,STOP
14314,S80_SL5_TP15,ACE/USDT,2026-08-17T03:00:00+00:00,2026-08-17T05:00:00+00:00,0.1683,0.159885,0.1684683,0.159725115,593.5834812840161,100.0,0.1,0.09481018981018982,-5.189810189810182,-5.3846203796203715,-5.3846203796203715,STOP
26959,CD12_E2_P15,ACE/USDT,2026-08-17T03:00:00+00:00,2026-08-17T05:00:00+00:00,0.1683,0.159885,0.1684683,0.159725115,593.5834812840161,100.0,0.1,0.09481018981018982,-5.189810189810182,-5.3846203796203715,-5.3846203796203715,STOP
28214,CD24_E1_P15,ACE/USDT,2026-08-17T03:00:00+00:00,2026-08-17T05:00:00+00:00,0.1683,0.159885,0.1684683,0.159725115,593.5834812840161,100.0,0.1,0.09481018981018982,-5.189810189810182,-5.3846203796203715,-5.3846203796203715,STOP
29471,CD24_E2_P15,ACE/USDT,2026-08-17T03:00:00+00:00,2026-08-17T05:00:00+00:00,0.1683,0.159885,0.1684683,0.159725115,593.5834812840161,100.0,0.1,0.09481018981018982,-5.189810189810182,-5.3846203796203715,-5.3846203796203715,STOP
