name,score,sl,tp,cooldown_hours,max_entries_24h,max_positions,cost,trades,win_rate,return_pct,median_pct,profit_factor,drawdown_pct,remove_top10_return,remove_top20_return,remove_symbol10_return,first_half_return,second_half_return,mc_positive_probability,mc_drawdown_p95,walk_forward_positive_windows,walk_forward_windows,robustness_score,eligible
S80_SL6_TP15,80,6.0,15.0,12,1,10,0.1,274,43.43065693430657,818.1259845326135,-0.2,1.6352936905210296,-46.84681280122689,130.9316178983879,-41.91492992945276,-21.19155805087751,-7.891612234262169,896.7886821205816,99.14,-25.089538359524834,9,13,48.0,False
S82_SL4_TP8,82,4.0,8.0,12,1,10,0.1,312,44.230769230769226,674.1782247817156,-0.20149869613436105,1.5656955658678215,-36.09993512267754,262.6796760624174,71.13372778980005,-7.717582953008706,31.183371800297664,490.1496616204204,99.68,-20.839470636629905,10,13,63.0,False
S82_SL4_TP10,82,4.0,10.0,12,1,10,0.1,304,40.78947368421053,938.7551851550409,-0.2199760289647688,1.6472486436634728,-32.389431483425504,298.9025922462136,56.61864323507682,20.646606467872395,68.46853785474332,516.5870484675738,99.8,-21.566208982773396,9,13,70.0,False
S82_SL4_TP12,82,4.0,12.0,12,1,10,0.1,295,41.69491525423729,1053.3985437378649,-0.2199740337561094,1.689363735878135,-39.70339409064954,278.06055124491405,23.920548698119504,-10.260183091806352,162.68560277378063,339.0794666927933,99.8,-21.830137344186284,11,13,63.0,False
S82_SL4_TP15,82,4.0,15.0,12,1,10,0.1,293,37.883959044368595,2703.22946271871,-0.2551267916207299,2.0964789125830574,-43.219153760906806,184.76442345320794,-28.374634706120727,-4.8356646768555,59.6827712067022,1655.4990068966517,99.8,-23.61933588137745,9,13,53.0,False
S82_SL5_TP8,82,5.0,8.0,12,1,10,0.1,301,45.182724252491695,467.8473418742973,-0.2,1.4740031350294212,-37.527732057464455,157.29862445281304,21.40871315386226,-8.182568613329689,7.55010475830169,427.9839969941694,98.83999999999999,-22.979192642018006,9,13,60.0,False
S82_SL5_TP10,82,5.0,10.0,12,1,10,0.1,287,44.94773519163763,529.3720728692203,-0.2,1.4966648942616236,-36.6110771577999,141.6913580243004,-5.106225652088714,-12.667924471337566,4.542354561993078,502.02592098306604,98.92,-24.452872735727,10,13,56.0,False
S82_SL5_TP12,82,5.0,12.0,12,1,10,0.1,287,44.25087108013937,1291.9382954484488,-0.2,1.719575770237293,-37.17869155511542,354.3792249461832,48.936255546748654,28.40851257272692,113.60804409327261,551.6319651523299,99.83999999999999,-23.064621611806864,10,13,73.0,False
S82_SL5_TP15,82,5.0,15.0,12,1,10,0.1,280,41.785714285714285,1017.039688443112,-0.20799491499770545,1.678334669779796,-39.60921646783554,180.9633828631886,-29.33069135623032,-12.11452673411031,84.49651334559043,505.4530073154958,99.58,-24.3482041625987,10,13,56.0,False
S82_SL6_TP8,82,6.0,8.0,12,1,10,0.1,290,45.86206896551724,230.74892807624724,-0.2,1.3392453336017154,-41.054121181752976,48.79015235656689,-29.79200349012836,-47.09114210332827,12.931355751207185,192.87608023134112,93.92,-25.780343133579066,10,13,56.0,False
