scenario,symbol,entry_time,exit_time,entry_price,exit_price,score,return_pct,pnl,reason
V7_BASE,USDC/USDT,2026-07-27T16:00:00+00:00,2026-07-28T16:00:00+00:00,1.00095,1.00085,81.0,-0.10998051850741758,-0.10465376009702254,24H
V7_BASE,TREE/USDT,2026-07-27T16:00:00+00:00,2026-07-28T16:00:00+00:00,0.0387,0.0381,76.0,-1.648837209302308,-1.5689779979508813,24H
V7_BASE,MUBARAK/USDT,2026-07-27T17:00:00+00:00,2026-07-28T17:00:00+00:00,0.01095,0.0109,77.0,-0.5561643835616488,-0.5292273100880465,24H
V7_BASE,PUMP/USDT,2026-07-27T18:00:00+00:00,2026-07-28T17:00:00+00:00,0.002088,0.001969,77.0,-5.793534482758624,-5.512932436589267,STOP_LOSS
V7_BASE,ETH/USDT,2026-07-27T19:00:00+00:00,2026-07-28T19:00:00+00:00,1948.31,1922.23,82.0,-1.4372574179673585,-1.3676457890810667,24H
V7_BASE,U/USDT,2026-07-28T00:00:00+00:00,2026-07-29T00:00:00+00:00,1.0007,1.0009,76.0,-0.08003397621663269,-0.07560169573862652,24H
V7_BASE,GPS/USDT,2026-07-28T09:00:00+00:00,2026-07-29T09:00:00+00:00,0.00949,0.00963,92.0,1.373761854583759,1.290702815360092,24H
V7_BASE,AAVE/USDT,2026-07-28T16:00:00+00:00,2026-07-29T16:00:00+00:00,101.26,98.73,95.0,-2.596020146158397,-2.4357249490049355,24H
V7_BASE,ONDO/USDT,2026-07-28T16:00:00+00:00,2026-07-29T16:00:00+00:00,0.4088,0.3937,89.0,-3.7900440313111483,-3.5560220203038995,24H
V7_BASE,CRCLB/USDT,2026-07-28T16:00:00+00:00,2026-07-29T16:00:00+00:00,65.84,62.66,84.0,-4.925060753341436,-4.620955415169121,24H
V7_BASE,PLUME/USDT,2026-07-28T16:00:00+00:00,2026-07-29T16:00:00+00:00,0.0124,0.01199,77.0,-3.403145161290321,-3.1930128072028054,24H
V7_BASE,AVAX/USDT,2026-07-28T16:00:00+00:00,2026-07-29T16:00:00+00:00,6.56,6.385,77.0,-2.7650152439024414,-2.5942851883943803,24H
V7_BASE,KAITO/USDT,2026-07-29T00:00:00+00:00,2026-07-29T16:00:00+00:00,1.2343,1.3585,89.0,9.952321153690356,9.263377325741331,TAKE_PROFIT
V7_BASE,EURI/USDT,2026-07-28T17:00:00+00:00,2026-07-29T17:00:00+00:00,1.1391,1.1405,75.0,0.022781143007642606,0.021236977158977766,24H
V7_BASE,RE/USDT,2026-07-29T16:00:00+00:00,2026-07-29T18:00:00+00:00,0.4686,0.5159,79.0,9.9838028169014,9.23437353810887,TAKE_PROFIT
V7_BASE,ALPINE/USDT,2026-07-28T19:00:00+00:00,2026-07-29T19:00:00+00:00,0.317,0.309,87.0,-2.6211356466876987,-2.4398869715821974,24H
V7_BASE,SPCXB/USDT,2026-07-28T19:00:00+00:00,2026-07-29T19:00:00+00:00,116.41,112.62,78.0,-3.352478309423576,-3.1206580857465553,24H
V7_BASE,UNI/USDT,2026-07-29T09:00:00+00:00,2026-07-30T09:00:00+00:00,3.975,4.03,95.0,1.2822641509434007,1.1951535040344794,24H
V7_BASE,U/USDT,2026-07-29T16:00:00+00:00,2026-07-30T16:00:00+00:00,1.0009,1.0007,87.0,-0.11996203416924106,-0.1109571427066669,24H
V7_BASE,RLUSD/USDT,2026-07-29T16:00:00+00:00,2026-07-30T16:00:00+00:00,1.0014,1.001,81.0,-0.13990413421211567,-0.12940229875667342,24H
V7_BASE,USD1/USDT,2026-07-29T16:00:00+00:00,2026-07-30T16:00:00+00:00,1.00016,1.0,76.0,-0.11598144296911396,-0.10727535263943366,24H
V7_BASE,EUR/USDT,2026-07-29T16:00:00+00:00,2026-07-30T16:00:00+00:00,1.14,1.1539,75.0,1.1180789473684227,1.034150897653646,24H
V7_BASE,PORTAL/USDT,2026-07-29T17:00:00+00:00,2026-07-30T17:00:00+00:00,0.00994,0.00968,77.0,-2.713078470824966,-2.5094801214177807,24H
V7_BASE,GPS/USDT,2026-07-29T21:00:00+00:00,2026-07-30T17:00:00+00:00,0.00974,0.0092,78.0,-5.6386036960985635,-5.2361588402992965,STOP_LOSS
V7_BASE,ADA/USDT,2026-07-29T18:00:00+00:00,2026-07-30T18:00:00+00:00,0.1679,0.1723,84.0,2.5179868969624803,2.352257641721721,24H
V7_BASE,WLFI/USDT,2026-07-29T18:00:00+00:00,2026-07-30T18:00:00+00:00,0.0557,0.0551,78.0,-1.1761220825852867,-1.0987118954813724,24H
