scenario,check,status,value
S72_SL4_TP15,time_integrity,OK,0
S72_SL5_TP8,time_integrity,OK,0
S72_SL5_TP10,time_integrity,OK,0
S72_SL5_TP12,time_integrity,OK,0
S72_SL5_TP15,time_integrity,OK,0
S72_SL6_TP8,time_integrity,OK,0
S72_SL6_TP10,time_integrity,OK,0
S72_SL6_TP12,time_integrity,OK,0
S72_SL6_TP15,time_integrity,OK,0
S75_SL4_TP8,time_integrity,OK,0
S75_SL4_TP10,time_integrity,OK,0
S75_SL4_TP12,time_integrity,OK,0
S75_SL4_TP15,time_integrity,OK,0
S75_SL5_TP8,time_integrity,OK,0
S75_SL5_TP10,time_integrity,OK,0
S75_SL5_TP12,time_integrity,OK,0
S75_SL5_TP15,time_integrity,OK,0
S75_SL6_TP8,time_integrity,OK,0
S75_SL6_TP10,time_integrity,OK,0
S75_SL6_TP12,time_integrity,OK,0
S75_SL6_TP15,time_integrity,OK,0
S78_SL4_TP8,time_integrity,OK,0
S78_SL4_TP10,time_integrity,OK,0
S78_SL4_TP12,time_integrity,OK,0
S78_SL4_TP15,time_integrity,OK,0
S78_SL5_TP8,time_integrity,OK,0
S78_SL5_TP10,time_integrity,OK,0
S78_SL5_TP12,time_integrity,OK,0
S78_SL5_TP15,time_integrity,OK,0
S78_SL6_TP8,time_integrity,OK,0
S78_SL6_TP10,time_integrity,OK,0
S78_SL6_TP12,time_integrity,OK,0
S78_SL6_TP15,time_integrity,OK,0
S80_SL4_TP8,time_integrity,OK,0
S80_SL4_TP10,time_integrity,OK,0
S80_SL4_TP12,time_integrity,OK,0
S80_SL4_TP15,time_integrity,OK,0
S80_SL5_TP8,time_integrity,OK,0
S80_SL5_TP10,time_integrity,OK,0
S80_SL5_TP12,time_integrity,OK,0
S80_SL5_TP15,time_integrity,OK,0
S80_SL6_TP8,time_integrity,OK,0
S80_SL6_TP10,time_integrity,OK,0
S80_SL6_TP12,time_integrity,OK,0
S80_SL6_TP15,time_integrity,OK,0
S82_SL4_TP8,time_integrity,OK,0
S82_SL4_TP10,time_integrity,OK,0
S82_SL4_TP12,time_integrity,OK,0
S82_SL4_TP15,time_integrity,OK,0
S82_SL5_TP8,time_integrity,OK,0
S82_SL5_TP10,time_integrity,OK,0
S82_SL5_TP12,time_integrity,OK,0
S82_SL5_TP15,time_integrity,OK,0
S82_SL6_TP8,time_integrity,OK,0
S82_SL6_TP10,time_integrity,OK,0
S82_SL6_TP12,time_integrity,OK,0
S82_SL6_TP15,time_integrity,OK,0
S85_SL4_TP8,time_integrity,OK,0
S85_SL4_TP10,time_integrity,OK,0
S85_SL4_TP12,time_integrity,OK,0
S85_SL4_TP15,time_integrity,OK,0
S85_SL5_TP8,time_integrity,OK,0
S85_SL5_TP10,time_integrity,OK,0
S85_SL5_TP12,time_integrity,OK,0
S85_SL5_TP15,time_integrity,OK,0
S85_SL6_TP8,time_integrity,OK,0
S85_SL6_TP10,time_integrity,OK,0
S85_SL6_TP12,time_integrity,OK,0
S85_SL6_TP15,time_integrity,OK,0
CD6_E1_P5,time_integrity,OK,0
CD6_E1_P7,time_integrity,OK,0
CD6_E1_P10,time_integrity,OK,0
CD6_E1_P15,time_integrity,OK,0
CD6_E2_P5,time_integrity,OK,0
CD6_E2_P7,time_integrity,OK,0
CD6_E2_P10,time_integrity,OK,0
CD6_E2_P15,time_integrity,OK,0
CD12_E1_P5,time_integrity,OK,0
CD12_E1_P7,time_integrity,OK,0
CD12_E1_P15,time_integrity,OK,0
CD12_E2_P5,time_integrity,OK,0
CD12_E2_P7,time_integrity,OK,0
CD12_E2_P10,time_integrity,OK,0
CD12_E2_P15,time_integrity,OK,0
CD24_E1_P5,time_integrity,OK,0
CD24_E1_P7,time_integrity,OK,0
CD24_E1_P10,time_integrity,OK,0
CD24_E1_P15,time_integrity,OK,0
