tipo,scenario,symbol,trades,avg_pct,median_pct,pf,dd_pct,pnl
scenario,CD6_E1_P5,,194,0.6022361826156132,-0.21000451767205203,1.365641335206976,-59.485652260468115,1168.3381942742897
scenario,CD6_E1_P7,,257,1.2655887822588097,-0.20999200639488774,1.7944525127404625,-57.65892325101928,3252.563170405141
scenario,CD6_E2_P10,,353,0.8460976281639041,-0.209990009990013,1.5638924270467942,-59.62176529457657,2986.724627418582
scenario,CD6_E2_P15,,496,1.0607094210339332,-0.2,1.711426063567799,-67.53051957132227,5261.11872832831
scenario,CD6_E2_P5,,194,0.5965882496402029,-0.21100911453461585,1.3611429169184261,-59.92674420311297,1157.3812043019939
scenario,CD6_E2_P7,,256,0.3524127968151459,-0.22295109103724325,1.2060048023130683,-60.37062091186347,902.1767598467737
scenario,COST_0.15,,344,0.9958732288873624,-0.3139993202647737,1.600883604430117,-65.63763856773568,3425.8039073725267
scenario,COST_0.20,,344,0.8958732288873624,-0.4139993202647737,1.5218643903405453,-67.48065297693748,3081.8039073725267
scenario,COST_0.30,,344,0.6958732288873627,-0.6139993202647737,1.378561702525996,-73.98310749556597,2393.803907372528
scenario,ROBUST_72_SL5_TP10_CD6_P7,,267,1.41147814772825,-0.2,1.9106045702300778,-67.26769048413924,3768.646654434428
scenario,ROBUST_78_SL4_TP12_CD6_P7,,210,1.1747249064926308,-0.19800187823445486,1.9006905229586692,-44.022960065255525,2466.9223036345247
scenario,ROBUST_78_SL5_TP10_CD24_P5,,147,0.8960003608866502,-0.2,1.6438400866410194,-27.18576212149325,1317.1205305033761
scenario,ROBUST_78_SL5_TP10_CD6_P7,,211,1.4421638502950147,-0.2,1.9439096362705754,-39.49077458496269,3042.965724122481
scenario,ROBUST_78_SL5_TP12_CD24_P5,,143,1.0448941831884684,-0.19001098791329146,1.7359054782430108,-27.18576212149325,1494.1986819595097
scenario,ROBUST_78_SL5_TP12_CD6_P7,,202,1.998795717500274,-0.10975969845157235,2.424392929701826,-33.25362148399129,4037.5673493505533
scenario,S72_SL4_TP10,,375,0.5103521370409119,-0.28077544426493556,1.340763638162396,-72.07134730306261,1913.8205139034199
scenario,S72_SL4_TP12,,376,1.1300623945284072,-0.251178203899932,1.749800920577588,-69.0985212291332,4249.0346034268105
scenario,S72_SL4_TP15,,369,1.3046475914635602,-0.2578285383836863,1.851463237432935,-71.88363544195532,4814.149612500537
scenario,S72_SL4_TP8,,396,0.4697469442333882,-0.21300039006630894,1.3235126406422255,-75.29403154611569,1860.1978991642177
scenario,S72_SL5_TP10,,363,1.018583108455646,-0.21727563272004852,1.640039397494842,-63.70191810425811,3697.4566836939953
scenario,S72_SL5_TP12,,356,0.7198668370737704,-0.21898521723798786,1.4561881747120502,-62.36587179436901,2562.725939982623
scenario,S72_SL5_TP15,,348,0.9427753863550188,-0.2100185345146886,1.6141463921863484,-68.31445997203713,3280.8583445154654
scenario,S72_SL5_TP8,,371,0.4934727055396429,-0.2299760191846521,1.2909700107915714,-64.4684799825549,1830.7837375520755
scenario,S72_SL6_TP10,,353,0.9268185794665177,-0.21998201618542695,1.549205347310718,-71.60100897382637,3271.6695855168077
scenario,S72_SL6_TP12,,354,0.7354267073661767,-0.21699692056469916,1.4422928868265223,-68.42385877949975,2603.410544076265
scenario,S72_SL6_TP15,,348,0.564516427702432,-0.22794659508360554,1.3273657052771073,-76.31813095787787,1964.5171684044633
scenario,S72_SL6_TP8,,365,0.8015333112056813,-0.20999050901643318,1.5078844076848454,-71.56498424961926,2925.596585900737
scenario,S75_SL4_TP10,,345,0.4945489334174525,-0.2120012001200154,1.342328323744621,-64.42967559795221,1706.1938202902113
scenario,S75_SL4_TP12,,350,1.210267121606353,-0.2199790224754637,1.8198834897073564,-62.19390856644888,4235.934925622236
scenario,S75_SL4_TP15,,338,0.765269066962209,-0.24393830765337948,1.515705887925135,-68.51660031567273,2586.6094463322665
scenario,S75_SL4_TP8,,357,0.4230186092372512,-0.21001803245842537,1.3048993788128618,-52.838845358253096,1510.1764349769871
scenario,S75_SL5_TP10,,344,1.0958732288873627,-0.2139993202647737,1.6849955981726241,-63.692215128942166,3769.8039073725276
scenario,S75_SL5_TP12,,341,1.2165508952861106,-0.22997302427815153,1.7306061325592446,-65.92793066003443,4148.438552925638
scenario,S75_SL5_TP15,,336,1.4612134340803307,-0.21101062010008814,1.9600955646239935,-71.82759573718702,4909.677138509911
scenario,S75_SL5_TP8,,346,0.6794159347405397,-0.21898521723798786,1.4384428164445369,-60.92562313639589,2350.779134202268
scenario,S75_SL6_TP10,,334,0.4788684190784898,-0.21997802497076818,1.300555203428605,-65.37922100633847,1599.420519722156
scenario,S75_SL6_TP12,,330,0.454471159974977,-0.23745315953518903,1.2609656639011524,-67.51105619180971,1499.754827917424
scenario,S75_SL6_TP15,,334,0.7155017423200555,-0.24001206125303637,1.3963732725491094,-74.72740611529034,2389.7758193489854
scenario,S75_SL6_TP8,,342,0.5360998344542496,-0.1476953465102125,1.364319038947128,-58.32625178122496,1833.4614338335339
scenario,S78_SL4_TP10,,301,0.8938132407261992,-0.19134723544171878,1.7031902927468812,-43.00860308901386,2690.3778545858595
scenario,S78_SL4_TP12,,300,1.7316162633154513,-0.20898909362413992,2.301529254504477,-42.86718147334082,5194.8487899463535
scenario,S78_SL4_TP15,,291,0.9926990065197098,-0.21997602876550043,1.7253806390165145,-48.48112415953941,2888.7541089723554
scenario,S78_SL4_TP8,,313,1.5034714896034864,-0.19000999000997593,2.2360493394472916,-37.24702063368361,4705.865762458913
scenario,S78_SL5_TP10,,294,0.507546142131045,-0.20998876294724395,1.3431141249955856,-44.05912886709683,1492.1856578652726
scenario,S78_SL5_TP12,,289,0.7954571823206469,-0.21001803245842537,1.5326282356869785,-46.58884568582627,2298.8712569066697
scenario,S78_SL5_TP15,,284,1.6522837565265476,-0.2039960838378428,2.150153842400635,-49.75570433941559,4692.485868535396
scenario,S78_SL5_TP8,,299,0.5176823661515451,-0.19001098791329146,1.3798653255414095,-45.78134812228816,1547.8702747931197
scenario,S78_SL6_TP10,,284,0.8548112780850226,-0.19001148656595507,1.5831831208463976,-40.65855715711108,2427.6640297614645
scenario,S78_SL6_TP12,,282,0.866343235471105,-0.18501398681253206,1.5794149854449047,-41.721168066682836,2443.087924028516
scenario,S78_SL6_TP15,,274,0.9787469725791338,-0.20799516451091554,1.632912666349618,-39.198063469765685,2681.7667048668263
scenario,S78_SL6_TP8,,292,1.1359755360746842,-0.06463823630619131,1.7712440687257633,-44.51375293217086,3317.0485653380774
scenario,S80_SL4_TP10,,307,1.4256379116950526,-0.2100170289492163,2.0786846657996314,-42.57053677964022,4376.708388903811
scenario,S80_SL4_TP12,,296,1.3823387372067713,-0.21499880041994085,2.008797332791748,-48.17003409272175,4091.722662132043
scenario,S80_SL4_TP15,,297,1.6891179151476012,-0.20999500249875275,2.234536700771453,-48.598897591339785,5016.6802079883755
scenario,S80_SL4_TP8,,313,0.5989370740757703,-0.2,1.4617370320047107,-45.718538771239714,1874.6730418571613
scenario,S80_SL5_TP10,,290,1.4961781339549522,-0.19001048836352324,2.0882161741709466,-42.99152756811257,4338.916588469362
scenario,S80_SL5_TP12,,289,1.6314301060190541,-0.2,2.122404507160293,-38.706083451945794,4714.833006395067
