scenario,row,category,severity,message,expected,observed
S72_SL4_TP8,58,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-4.000000000000,-4.200000000000
S72_SL4_TP8,59,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-4.000000000000,-4.200000000000
S72_SL4_TP8,60,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-2.792321116928,-2.992321116928
S72_SL4_TP8,61,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-4.000000000000,-4.200000000000
S72_SL4_TP8,62,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-4.000000000000,-4.200000000000
S72_SL4_TP8,63,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-4.000000000000,-4.200000000000
S72_SL4_TP8,64,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-4.000000000000,-4.200000000000
S72_SL4_TP8,65,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-4.000000000000,-4.200000000000
S72_SL4_TP8,66,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-4.000000000000,-4.200000000000
S72_SL4_TP8,67,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-0.106951871658,-0.306951871658
S72_SL4_TP8,68,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,5.922865013774,5.722865013774
S72_SL4_TP8,69,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-3.299492385787,-3.499492385787
S72_SL4_TP8,70,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,0.318471337580,0.118471337580
S72_SL4_TP8,71,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,2.973661852167,2.773661852167
S72_SL4_TP8,72,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,0.919963201472,0.719963201472
S72_SL4_TP8,73,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,0.819672131148,0.619672131148
S72_SL4_TP8,74,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,0.787789266371,0.587789266371
S72_SL4_TP8,75,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,0.000000000000,-0.200000000000
S72_SL4_TP8,76,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,0.390843241833,0.190843241833
S72_SL4_TP8,77,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-1.482617586912,-1.682617586912
S72_SL4_TP8,78,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,2.814432989691,2.614432989691
S72_SL4_TP8,79,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,0.094147183430,-0.105852816570
S72_SL4_TP8,80,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-2.172481895984,-2.372481895984
S72_SL4_TP8,81,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-0.265113196358,-0.465113196358
S72_SL4_TP8,82,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-4.000000000000,-4.200000000000
S72_SL4_TP8,83,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,8.000000000000,7.800000000000
S72_SL4_TP8,84,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-4.000000000000,-4.200000000000
S72_SL4_TP8,85,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-2.965328467153,-3.165328467153
S72_SL4_TP8,86,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-0.019974033756,-0.219974033756
S72_SL4_TP8,87,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,0.739219712526,0.539219712526
S72_SL4_TP8,88,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-0.009990509016,-0.209990509016
S72_SL4_TP8,89,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-0.012001200120,-0.212001200120
S72_SL4_TP8,90,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-1.550387596899,-1.750387596899
S72_SL4_TP8,91,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-0.456621004566,-0.656621004566
S72_SL4_TP8,92,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,0.019986009793,-0.180013990207
S72_SL4_TP8,93,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,0.000000000000,-0.200000000000
S72_SL4_TP8,94,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-4.000000000000,-4.200000000000
S72_SL4_TP8,95,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-0.100070049034,-0.300070049034
S72_SL4_TP8,96,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-4.000000000000,-4.200000000000
S72_SL4_TP8,97,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,3.617021276596,3.417021276596
S72_SL4_TP8,98,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-4.000000000000,-4.200000000000
S72_SL4_TP8,99,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-3.693737769080,-3.893737769080
S72_SL4_TP8,100,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-2.667682926829,-2.867682926829
S72_SL4_TP8,101,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,8.000000000000,7.800000000000
S72_SL4_TP8,102,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,0.750306274285,0.550306274285
S72_SL4_TP8,103,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,8.000000000000,7.800000000000
S72_SL4_TP8,104,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,0.543907360295,0.343907360295
S72_SL4_TP8,105,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-0.672782874618,-0.872782874618
S72_SL4_TP8,106,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,0.009987016878,-0.190012983122
S72_SL4_TP8,107,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,1.144848183176,0.944848183176
S72_SL4_TP8,108,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-4.000000000000,-4.200000000000
S72_SL4_TP8,109,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,1.061946902655,0.861946902655
S72_SL4_TP8,110,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-0.025971950294,-0.225971950294
S72_SL4_TP8,111,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-0.019982016185,-0.219982016185
S72_SL4_TP8,112,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-0.015997440410,-0.215997440410
S72_SL4_TP8,113,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-4.000000000000,-4.200000000000
S72_SL4_TP8,114,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-2.615694164990,-2.815694164990
S72_SL4_TP8,115,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-1.077199281867,-1.277199281867
S72_SL4_TP8,116,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,2.402209407351,2.202209407351
S72_SL4_TP8,117,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-4.000000000000,-4.200000000000
S72_SL4_TP8,118,RETURN_RECONSTRUCTION,REAL_DATA_ISSUE,return_pct não reconstrói do entry_price/exit_price.,-2.573971614145,-2.773971614145
