row,scenario,symbol,entry_price,exit_price,return_pct,pnl,gross_return_pct,implicit_cost_pp,nearest_simple_cost,nearest_distance_pp
60,S72_SL4_TP8,HEI/USDT,0.1056,0.101376,-4.200000000000004,-42.000000000000036,-4.00000000,0.20000000,0.20,0.00000000
61,S72_SL4_TP8,HOME/USDT,0.00689,0.0066144,-4.200000000000004,-42.000000000000036,-4.00000000,0.20000000,0.20,0.00000000
62,S72_SL4_TP8,XPL/USDT,0.08689,0.08341439999999999,-4.200000000000014,-42.00000000000014,-4.00000000,0.20000000,0.20,0.00000000
63,S72_SL4_TP8,UNI/USDT,3.858,3.70368,-4.200000000000004,-42.000000000000036,-4.00000000,0.20000000,0.20,0.00000000
64,S72_SL4_TP8,HEMI/USDT,0.00532,0.0051072,-4.200000000000004,-42.000000000000036,-4.00000000,0.20000000,0.20,0.00000000
65,S72_SL4_TP8,RE/USDT,0.6078,0.583488,-4.200000000000004,-42.000000000000036,-4.00000000,0.20000000,0.20,0.00000000
66,S72_SL4_TP8,GPS/USDT,0.00935,0.00934,-0.30695187165776777,-3.0695187165776776,-0.10695187,0.20000000,0.20,0.00000000
67,S72_SL4_TP8,TUT/USDT,0.01452,0.01538,5.722865013774103,57.228650137741035,5.92286501,0.20000000,0.20,0.00000000
68,S72_SL4_TP8,TREE/USDT,0.0394,0.0381,-3.4994923857867954,-34.99492385786795,-3.29949239,0.20000000,0.20,0.00000000
69,S72_SL4_TP8,ALPINE/USDT,0.314,0.315,0.11847133757962885,1.1847133757962887,0.31847134,0.20000000,0.20,0.00000000
70,S72_SL4_TP8,PLUME/USDT,0.01177,0.01212,2.7736618521665424,27.736618521665424,2.97366185,0.20000000,0.20,0.00000000
71,S72_SL4_TP8,MUBARAK/USDT,0.01087,0.01097,0.7199632014719406,7.199632014719406,0.91996320,0.20000000,0.20,0.00000000
72,S72_SL4_TP8,TUT/USDT,0.01586,0.01599,0.619672131147553,6.196721311475531,0.81967213,0.20000000,0.20,0.00000000
73,S72_SL4_TP8,ONDO/USDT,0.4062,0.4094,0.5877892663712416,5.877892663712417,0.78778927,0.20000000,0.20,0.00000000
74,S72_SL4_TP8,USDE/USDT,1.0009,1.0009,-0.2,-2.0,0.00000000,0.20000000,0.20,0.00000000
