signal_id,scenario,symbol,entry_time,entry_price,timeframe,score,confidence,signal
20260827140000+0000_73e9db8940,V9.20_V3_FORWARD,MOVR/USDT,2026-08-27T14:00:00+00:00,1.001000000000,1h,72.00,59.00,LONG
20260827140000+0000_a3d612cc5d,V9.20_V3_FORWARD,PROM/USDT,2026-08-27T14:00:00+00:00,4.824000000000,1h,72.00,59.00,LONG
20260827140000+0000_c3cbd5f5f7,V9.20_V3_FORWARD,BTC/USDT,2026-08-27T14:00:00+00:00,80204.050000000003,1h,70.00,65.00,LONG
20260827140000+0000_81556ff72b,V9.20_V3_FORWARD,PENGU/USDT,2026-08-27T14:00:00+00:00,0.009663000000,1h,69.00,56.00,LONG
20260827140000+0000_6beeaad98c,V9.20_V3_FORWARD,TUT/USDT,2026-08-27T14:00:00+00:00,0.062000000000,1h,69.00,48.00,LONG
20260827140000+0000_0febb36d71,V9.20_V3_FORWARD,ETH/USDT,2026-08-27T14:00:00+00:00,2517.440000000000,1h,67.00,55.00,LONG
20260827140000+0000_ca259bf16c,V9.20_V3_FORWARD,NEAR/USDT,2026-08-27T14:00:00+00:00,1.920000000000,1h,67.00,54.00,LONG
20260827140000+0000_1cdcc1330b,V9.20_V3_FORWARD,UNI/USDT,2026-08-27T14:00:00+00:00,4.508000000000,1h,67.00,54.00,LONG
20260827140000+0000_3619581f0e,V9.20_V3_FORWARD,WLD/USDT,2026-08-27T14:00:00+00:00,0.408700000000,1h,67.00,54.00,LONG
20260827140000+0000_6c6fcd9288,V9.20_V3_FORWARD,SUI/USDT,2026-08-27T14:00:00+00:00,0.781400000000,1h,65.00,55.00,LONG
20260827140000+0000_e436e2e830,V9.20_V3_FORWARD,XRP/USDT,2026-08-27T14:00:00+00:00,1.460900000000,1h,65.00,55.00,LONG
20260827150000+0000_55d6b282de,V9.20_V3_FORWARD,ENA/USDT,2026-08-27T15:00:00+00:00,0.162500000000,1h,75.00,70.00,LONG
20260827150000+0000_efbfb63f6a,V9.20_V3_FORWARD,PUMP/USDT,2026-08-27T15:00:00+00:00,0.004911000000,1h,75.00,70.00,LONG
20260827150000+0000_738d1e29af,V9.20_V3_FORWARD,BTC/USDT,2026-08-27T15:00:00+00:00,80302.320000000007,1h,73.00,68.00,LONG
20260827150000+0000_84ec2a6b5d,V9.20_V3_FORWARD,LINK/USDT,2026-08-27T15:00:00+00:00,11.932000000000,1h,73.00,68.00,LONG
20260827150000+0000_ad03f72da1,V9.20_V3_FORWARD,CRCLB/USDT,2026-08-27T15:00:00+00:00,95.430000000000,1h,70.00,70.00,LONG
20260827150000+0000_75ccbbddbd,V9.20_V3_FORWARD,AVAX/USDT,2026-08-27T15:00:00+00:00,7.520000000000,1h,70.00,65.00,LONG
20260827150000+0000_a66ca866b3,V9.20_V3_FORWARD,SPCXB/USDT,2026-08-27T15:00:00+00:00,141.150000000000,1h,70.00,65.00,LONG
20260827150000+0000_d68a26215e,V9.20_V3_FORWARD,PENGU/USDT,2026-08-27T15:00:00+00:00,0.009659000000,1h,69.00,56.00,LONG
20260827150000+0000_00dc3532e0,V9.20_V3_FORWARD,USD1/USDT,2026-08-27T15:00:00+00:00,0.999860000000,1h,67.00,55.00,LONG
20260827150000+0000_bc7899afc0,V9.20_V3_FORWARD,NEAR/USDT,2026-08-27T15:00:00+00:00,1.917000000000,1h,67.00,54.00,LONG
20260827150000+0000_fad97abd5a,V9.20_V3_FORWARD,ZEC/USDT,2026-08-27T15:00:00+00:00,803.720000000000,1h,65.00,55.00,LONG
20260827160000+0000_eca1bcbd1a,V9.20_V3_FORWARD,WLD/USDT,2026-08-27T16:00:00+00:00,0.417900000000,1h,75.00,70.00,LONG
20260827160000+0000_46eca7fb7f,V9.20_V3_FORWARD,ENA/USDT,2026-08-27T16:00:00+00:00,0.167800000000,1h,70.00,70.00,LONG
20260827160000+0000_643326567d,V9.20_V3_FORWARD,LINK/USDT,2026-08-27T16:00:00+00:00,11.873000000000,1h,70.00,65.00,LONG
20260827160000+0000_237e206c62,V9.20_V3_FORWARD,CRCLB/USDT,2026-08-27T16:00:00+00:00,95.630000000000,1h,67.00,60.00,LONG
20260827160000+0000_5ddde99299,V9.20_V3_FORWARD,PEPE/USDT,2026-08-27T16:00:00+00:00,0.000003930000,1h,67.00,55.00,LONG
20260827160000+0000_1923dda329,V9.20_V3_FORWARD,SPCXB/USDT,2026-08-27T16:00:00+00:00,140.640000000000,1h,67.00,55.00,LONG
20260827160000+0000_70cc4cb104,V9.20_V3_FORWARD,BTC/USDT,2026-08-27T16:00:00+00:00,80374.000000000000,1h,67.00,54.00,LONG
20260827160000+0000_b3632a74ef,V9.20_V3_FORWARD,DOGE/USDT,2026-08-27T16:00:00+00:00,0.089270000000,1h,67.00,54.00,LONG
20260827160000+0000_fe6e94ed75,V9.20_V3_FORWARD,NEAR/USDT,2026-08-27T16:00:00+00:00,1.923000000000,1h,67.00,54.00,LONG
20260827160000+0000_416b247d31,V9.20_V3_FORWARD,PUMP/USDT,2026-08-27T16:00:00+00:00,0.004946000000,1h,67.00,54.00,LONG
20260827220000+0000_b0f1e28a36,V9.20_V3_FORWARD,BMT/USDT,2026-08-27T22:00:00+00:00,0.026240000000,1h,75.00,62.00,LONG
20260827230000+0000_e3cd112640,V9.20_V3_FORWARD,BMT/USDT,2026-08-27T23:00:00+00:00,0.027040000000,1h,69.00,48.00,LONG
20260828000000+0000_38009b034c,V9.20_V3_FORWARD,ONG/USDT,2026-08-28T00:00:00+00:00,0.133640000000,1h,69.00,56.00,LONG
20260828000000+0000_f3efe650e8,V9.20_V3_FORWARD,TRUMP/USDT,2026-08-28T00:00:00+00:00,2.694000000000,1h,69.00,56.00,LONG
20260828000000+0000_b483e10458,V9.20_V3_FORWARD,BMT/USDT,2026-08-28T00:00:00+00:00,0.027000000000,1h,69.00,48.00,LONG
20260828010000+0000_37acf0a6a5,V9.20_V3_FORWARD,TRUMP/USDT,2026-08-28T01:00:00+00:00,2.766000000000,1h,70.00,70.00,LONG
