time,equity,open_positions
2026-07-28T01:00:00+00:00,768.02026861,10
2026-07-28T04:00:00+00:00,768.02026861,10
2026-07-28T05:00:00+00:00,768.02026861,10
2026-07-28T06:00:00+00:00,768.02026861,10
2026-07-28T07:00:00+00:00,768.02026861,10
2026-07-28T08:00:00+00:00,768.02026861,10
2026-07-28T09:00:00+00:00,763.82026861,10
2026-07-28T10:00:00+00:00,763.82026861,10
2026-07-28T11:00:00+00:00,763.82026861,10
2026-07-28T12:00:00+00:00,763.82026861,10
2026-07-28T13:00:00+00:00,763.82026861,10
2026-07-28T14:00:00+00:00,763.82026861,10
2026-07-28T15:00:00+00:00,763.82026861,10
2026-07-28T16:00:00+00:00,761.74716095,10
2026-07-28T17:00:00+00:00,761.74716095,10
2026-07-28T18:00:00+00:00,761.74716095,10
2026-07-28T19:00:00+00:00,761.74716095,10
2026-07-28T21:00:00+00:00,761.74716095,10
2026-07-28T22:00:00+00:00,761.53015840,10
2026-07-28T23:00:00+00:00,761.53015840,10
2026-07-29T00:00:00+00:00,761.17013042,10
2026-07-29T01:00:00+00:00,761.17013042,10
2026-07-29T02:00:00+00:00,761.17013042,10
2026-07-29T03:00:00+00:00,752.77013042,10
2026-07-29T04:00:00+00:00,752.77013042,10
2026-07-29T05:00:00+00:00,752.77013042,10
2026-07-29T06:00:00+00:00,752.77013042,10
2026-07-29T07:00:00+00:00,752.77013042,10
2026-07-29T08:00:00+00:00,752.77013042,10
2026-07-29T09:00:00+00:00,754.04536751,10
2026-07-29T10:00:00+00:00,749.84536751,10
2026-07-29T11:00:00+00:00,749.84536751,10
2026-07-29T12:00:00+00:00,749.84536751,10
2026-07-29T13:00:00+00:00,749.84536751,10
2026-07-29T14:00:00+00:00,745.64536751,10
2026-07-29T15:00:00+00:00,745.64536751,10
2026-07-29T16:00:00+00:00,756.48394682,10
2026-07-29T17:00:00+00:00,756.48394682,10
2026-07-29T18:00:00+00:00,774.08394682,10
2026-07-29T19:00:00+00:00,769.88394682,10
