scenario,trades,win_rate_pct,pnl,return_on_reference_capital_pct,profit_factor,max_drawdown_pct,real_data_issues,warnings
S78_SL5_TP15,284,43.66197183098591,4692.485868535396,469.2485868535396,2.150153842400635,-66.22681122673075,284,3
S78_SL5_TP8,299,45.819397993311036,1547.8702747931197,154.78702747931197,1.3798653255414095,-54.22852788836546,299,2
S78_SL6_TP10,284,46.478873239436616,2427.6640297614645,242.76640297614645,1.5831831208463976,-28.56399549452985,284,2
S78_SL6_TP12,282,46.45390070921986,2443.087924028516,244.30879240285162,1.5794149854449047,-28.56399549452985,282,2
S78_SL6_TP15,274,43.43065693430657,2681.7667048668263,268.1766704866826,1.6329126663496178,-43.38242200957823,274,2
S78_SL6_TP8,292,49.65753424657534,3317.0485653380774,331.70485653380774,1.7712440687257631,-38.27604662721802,292,3
S80_SL4_TP10,307,42.671009771986974,4376.708388903811,437.6708388903811,2.0786846657996314,-50.5600949430127,307,3
S80_SL4_TP12,296,41.21621621621622,4091.722662132043,409.17226621320435,2.008797332791748,-62.38479608485342,296,3
S80_SL4_TP15,297,41.75084175084175,5016.6802079883755,501.6680207988376,2.234536700771453,-63.29611255745535,297,3
S80_SL4_TP8,313,45.68690095846645,1874.6730418571613,187.46730418571613,1.4617370320047107,-46.49815897817928,313,2
S80_SL5_TP10,290,45.17241379310345,4338.916588469362,433.89165884693625,2.0882161741709466,-27.49673295191024,290,3
S80_SL5_TP12,289,43.944636678200695,4714.833006395067,471.4833006395067,2.122404507160293,-42.5363966987014,289,3
S80_SL5_TP15,280,44.285714285714285,3440.4604866709683,344.04604866709684,1.897181848146168,-50.06371653977525,280,2
S80_SL5_TP8,303,46.53465346534654,3674.124755527269,367.4124755527269,1.851666606915607,-54.197904694653495,303,3
S80_SL6_TP10,279,44.80286738351255,1565.8784136668694,156.58784136668692,1.362898463547158,-56.12637753597258,279,2
S80_SL6_TP12,281,44.128113879003564,1521.3918970318962,152.13918970318963,1.322925218296352,-85.2292981283051,281,2
S80_SL6_TP15,274,43.43065693430657,2679.3607761341846,267.93607761341843,1.6352936905210296,-57.5654109488831,274,2
S80_SL6_TP8,294,45.91836734693878,1003.5402887115555,100.35402887115555,1.21072584314456,-47.70137747646416,294,2
S82_SL4_TP10,304,40.78947368421053,2691.1008424277497,269.110084242775,1.6472486436634728,-30.85915838829071,304,2
S82_SL4_TP12,295,41.69491525423729,2826.8191190955094,282.68191190955093,1.689363735878135,-41.70629180296953,295,2
S82_SL4_TP15,293,37.883959044368595,4571.081185117081,457.10811851170814,2.096478912583058,-47.31321465779242,293,3
S82_SL4_TP8,312,44.230769230769226,2330.2203921418854,233.02203921418854,1.5656955658678213,-38.85283479623675,312,2
